source_language,age,gender,experience_years,monthly_salary_eur,annual_income_eur,income_change_pct,company,company_type,company_type_en,role,role_en,role_group,education,education_en,education_level,office_city,location_category,office_time_percent,salary_competitive
fi,31_35,male,10.0,5400.0,67900.0,2.0,,"yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",enterprise,senior software developer,senior software developer,senior_developer,tietojenkäsittelytieteen kandidaatti,bsc (computer science),bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,100.0,false
fi,36_40,,8.0,5800.0,,-10.0,sok,"yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",enterprise,data engineer,data engineer,data_ml_analytics,di,msc (engineering),master,"pk-seutu (helsinki, espoo, vantaa)",capital_region,40.0,true
fi,46_50,male,26.0,6550.0,81875.0,2.0,nordcloud,konsulttitalossa,consulting,solution architect,solution architect,architect,"fm, matematiikka","fm, matematiikka",master,jyväskylä,rest_of_finland,60.0,false
fi,31_35,male,12.0,6600.0,79200.0,0.0,,konsulttitalossa,consulting,seniori full-stack developer,seniori full-stack developer,senior_developer,automaatioasentaja,automaatioasentaja,other,oulu,rest_of_finland,1.0,true
fi,46_50,male,22.0,7500.0,80000.0,3.0,,konsulttitalossa,consulting,senior consultant,senior consultant,software_developer_engineer,"fm, tietojenkäsittely","fm, tietojenkäsittely",master,turku,rest_of_finland,5.0,true
fi,26_30,male,6.0,3875.0,46500.0,8.0,visma,"yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",enterprise,senior fullstack developer,senior fullstack developer,senior_developer,lukio,high school,secondary_or_less,turku,rest_of_finland,40.0,false
fi,36_40,male,10.0,6000.0,75000.0,0.0,,"yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",enterprise,senior software engineer,senior software engineer,senior_developer,tekniikan kandidaatti,bachelor's degree,bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,0.0,true
fi,31_35,male,8.0,6300.0,87500.0,7.0,metacore,"tuotetalossa, jonka core-bisnes on softa",product_company,programmer,programmer,software_developer_engineer,dippainssi,dippainssi,master,"pk-seutu (helsinki, espoo, vantaa)",capital_region,80.0,true
fi,51_55,male,30.0,5000.0,62500.0,0.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,full-stack software developer,full-stack software developer,software_developer_engineer,yo,yo,other,turku,rest_of_finland,50.0,50/50
fi,31_35,male,9.0,4190.0,54400.0,7.8,,konsulttitalossa,consulting,support / system specialist,support / system specialist,software_developer_engineer,it-tradenomi,bachelor's it (amk),bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,20.0,true
fi,36_40,male,13.0,5325.0,67600.0,1.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,devops / infra engineer,devops / infra engineer,devops_infrastructure,di,msc (engineering),master,tampere,rest_of_finland,0.0,true
fi,31_35,male,15.0,7200.0,200000.0,,,"tuotetalossa, jonka core-bisnes on softa",product_company,cloud architect,cloud architect,devops_infrastructure,amk,bachelor's (amk),bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,100.0,true
fi,36_40,male,11.0,5787.0,72000.0,5.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,software developer,software developer,software_developer_engineer,tradenomi (amk),bachelor's (amk),bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,5.0,true
fi,41_45,male,18.0,8000.0,130000.0,7.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,cto,cto,management_leadership,diplomi-insinööri,msc (engineering),master,"pk-seutu (helsinki, espoo, vantaa)",capital_region,40.0,true
fi,36_40,male,13.0,5600.0,72000.0,7.0,,"yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",enterprise,senior software engineer,senior software engineer,senior_developer,alempi korkeakoulututkinto,alempi korkeakoulututkinto,other,turku,rest_of_finland,70.0,false
fi,36_40,male,13.0,6600.0,83000.0,3.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,senior fullstack developer,senior fullstack developer,senior_developer,di (tkk/aalto),di (tkk/aalto),master,"pk-seutu (helsinki, espoo, vantaa)",capital_region,90.0,50/50
fi,36_40,male,5.0,4750.0,59375.0,1.0,,konsulttitalossa,consulting,software developer,software developer,software_developer_engineer,amk,bachelor's (amk),bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,80.0,true
